item_id,name,category,subtype,rarity,attunement,consumable,source,allowed,notes,att_detail,rarity_norm,category_norm,attunement_norm,source_ref,power_band
adamantine_armor,Adamantine Armor,Armor,"Any Medium or Heavy, Except Hide Armor",Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence.",,uncommon,armor,no,DMG,2
adamantine_weapon,Adamantine Weapon,Weapon,Any Ammunition or Melee Weapon,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence.",,uncommon,weapon,no,DMG,2
alchemy_jug,Alchemy Jug,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty.,,uncommon,wondrous,no,DMG,2
ammunition_plus1_plus2_or_plus3,"Ammunition, +1, +2, or +3",Weapon,Any Ammunition,"Uncommon (+1), Rare (+2),; Very Rare (+3)",,True,DMG 2024 (Magic Items A–Z PDF),True,You have a bonus to attack rolls and damage rolls made with this piece of magic ammunition.,,very rare,weapon,no,DMG,3
ammunition_of_slaying,Ammunition of Slaying,Weapon,Any Ammunition,Very Rare,,True,DMG 2024 (Magic Items A–Z PDF),True,"This magic ammunition is meant to slay creatures of a particular type, which the DM chooses or determines randomly by rolling on the table below.",,very rare,weapon,no,DMG,3
amulet_of_health,Amulet of Health,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,Your Constitution is 19 while you wear this amulet.,Requires Attunement,rare,wondrous,yes,DMG,3
amulet_of_proof_against_detection_and_location,Amulet of Proof against Detection and Location,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this amulet, you can’t be targeted by Divination spells or perceived through magical scrying sensors unless you allow it.",Requires Attunement,uncommon,wondrous,yes,DMG,2
amulet_of_the_planes,Amulet of the Planes,Wondrous Item,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this amulet, you can take a Magic action to name a location that you are familiar with on another plane of existence.",Requires Attunement,very rare,wondrous,yes,DMG,4
animated_shield,Animated Shield,Armor,Shield,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While holding this Shield, you can take a Bonus Action to cause it to animate.",Requires Attunement,very rare,shield,yes,DMG,4
apparatus_of_kwalish,Apparatus of Kwalish,Wondrous Item,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),True,This item first appears to be a sealed iron barrel weighing 500 pounds.,,legendary,wondrous,no,DMG,5
armor_plus1_plus2_or_plus3,"Armor, +1, +2, or +3",Armor,"Any Light, Medium, or Heavy","Rare (+1), Very Rare (+2),; Legendary (+3)",,False,DMG 2024 (Magic Items A–Z PDF),True,You have a bonus to Armor Class while wearing this armor.,,legendary,armor,no,DMG,5
armor_of_gleaming,Armor of Gleaming,Armor,"Any Light, Medium, or Heavy",Common,,False,DMG 2024 (Magic Items A–Z PDF),True,This armor never gets dirty.,,common,armor,no,DMG,1
armor_of_invulnerability,Armor of Invulnerability,Armor,Plate Armor,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"You have Resistance to Bludgeoning, Piercing, and Slashing damage while you wear this armor.",Requires Attunement,legendary,armor,yes,DMG,5
armor_of_resistance,Armor of Resistance,Armor,"Any Light, Medium, or Heavy",Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You have Resistance to one type of damage while you wear this armor.,Requires Attunement,rare,armor,yes,DMG,3
armor_of_vulnerability,Armor of Vulnerability,Armor,"Any Light, Medium, or Heavy",Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this armor, you have Resistance to one of the following damage types: Bludgeoning, Piercing, or Slashing.",Requires Attunement,rare,armor,yes,DMG,3
arrow_catching_shield,Arrow-Catching Shield,Armor,Shield,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +2 bonus to Armor Class against ranged attack rolls while you wield this Shield.,Requires Attunement,rare,shield,yes,DMG,3
axe_of_the_dwarvish_lords,Axe of the Dwarvish Lords,Weapon,Battleaxe,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,A young dwarf prince set out to forge a weapon that would be regarded as a symbol of unity among his people.,Requires Attunement,artifact,weapon,yes,DMG,5
baba_yaga_s_dancing_broom,Baba Yaga’s Dancing Broom,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,The archfey Baba Yaga crafted many of these magic brooms.,Requires Attunement,uncommon,wondrous,yes,DMG,2
bag_of_beans,Bag of Beans,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,This heavy cloth bag contains 3d4 dry beans when found.,,rare,wondrous,no,DMG,3
bag_of_devouring,Bag of Devouring,Wondrous Item,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,This bag resembles a Bag of Holding but is a feeding orifice for a gigantic extradimensional creature.,,very rare,wondrous,no,DMG,4
bag_of_holding,Bag of Holding,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This bag has an interior space considerably larger than its outside dimensions—roughly 2 feet square and 4 feet deep on the inside.,,uncommon,wondrous,no,DMG,2
