item_id,category,name,subtype,rarity,attunement,consumable,source,heliana_n,heliana_recipes,notes,rarity_norm,category_norm,attunement_norm,source_ref,power_band
adamantine_armor,Armor,Adamantine Armor,"Any Medium or Heavy, Except Hide Armor",Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),1,"Adamantine Armor [gp=500 + base armor, rar=U, att=—, type=Material, comp=Adamantine]","This suit of armor is reinforced with adamantine, one of the hardest substances in existence.",uncommon,armor,no,DMG,2
animated_shield,Armor,Animated Shield,Shield,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),1,"Animated Shield [gp=5,000, rar=R V, att=Req, type=Construct, meta=Animated, comp=Instructions]","While holding this Shield, you can take a Bonus Action to cause it to animate.",very rare,shield,yes,DMG,4
armor_of_gleaming,Armor,Armor of Gleaming,"Any Light, Medium, or Heavy",Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This armor never gets dirty.,common,armor,no,DMG,1
armor_of_invulnerability,Armor,Armor of Invulnerability,Plate Armor,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),1,"Armor of Invulnerability [gp=18,000, rar=L, att=Req, type=Construct, meta=Golem, comp=Plating]","You have Resistance to Bludgeoning, Piercing, and Slashing damage while you wear this armor.",legendary,armor,yes,DMG,5
armor_of_resistance,Armor,Armor of Resistance,"Any Light, Medium, or Heavy",Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),10,"Armor of Resistance (Acid) [gp=1,200 + base armor, rar=U R, att=Req, type=Ooze, meta=Black pudding, comp=Membrane] | Armor of Resistance (Cold) [gp=1,200 + base armor, rar=U R, att=Req, type=Fiend, meta=Ice devil, comp=Skin] | Armor of Resistance (Fire) [gp=1,500 + base armor, rar=U R, att=Req, type=Elemental, meta=Salamander, comp=Bone] | Armor of Resistance (Force) [gp=1,200 + base armor, rar=U R, att=Req, type=Construct, meta=Golem, comp=Bone] | Armor of Resistance (Lightning) [gp=1,200 + base armor, rar=U R, att=Req, type=Elemental, meta=Djinni, comp=Bone] | Armor of Resistance (Necrotic) [gp=1,200 + base armor, rar=U R, att=Req, type=Undead, meta=Mummy, comp=Undying flesh] | Armor of Resistance (Poison) [gp=1,500 + base armor, rar=U R, att=Req, type=Monstrosity, meta=Naga, comp=Liver] | Armor of Resistance (Psychic) [gp=1,100 + base armor, rar=U R, att=Req, type=Aberration, meta=Aboleth, comp=Brain] | Armor of Resistance (Radiant) [gp=1,100 + base armor, rar=U R, att=Req, type=Celestial, meta=Planetar, comp=Bone] | Armor of Resistance (Thunder) [gp=1,100 + base armor, rar=U R, att=Req, type=Giant, meta=Storm, comp=Bone]",You have Resistance to one type of damage while you wear this armor.,rare,armor,yes,DMG,3
armor_of_vulnerability,Armor,Armor of Vulnerability,"Any Light, Medium, or Heavy",Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),1,"Armor of Vulnerability [gp=500 + base armor, rar=U R, att=Req, type=Fiend, comp=Phial of blood]","While wearing this armor, you have Resistance to one of the following damage types: Bludgeoning, Piercing, or Slashing.",rare,armor,yes,DMG,3
armor_plus1_plus2_or_plus3,Armor,"Armor, +1, +2, or +3","Any Light, Medium, or Heavy","Rare (+1), Very Rare (+2),; Legendary (+3)",,False,DMG 2024 (Magic Items A–Z PDF),0,,You have a bonus to Armor Class while wearing this armor.,legendary,armor,no,DMG,5
arrow_catching_shield,Armor,Arrow-Catching Shield,Shield,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),1,"Arrow-Catching Shield [gp=5,000, rar=R, att=Req, type=Celestial, comp=Skin]",You gain a +2 bonus to Armor Class against ranged attack rolls while you wield this Shield.,rare,shield,yes,DMG,3
cast_off_armor,Armor,Cast-Off Armor,"Any Light, Medium, or Heavy",Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,You can doff this armor as a Magic action.,common,armor,no,DMG,1
demon_armor,Armor,Demon Armor,"Any Light, Medium, or Heavy",Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this armor, you gain a +1 bonus to Armor Class, and you know Abyssal.",very rare,armor,yes,DMG,4
dragon_scale_mail,Armor,Dragon Scale Mail,Scale Mail,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,Dragon Scale Mail is made of the scales of one kind of dragon.,very rare,armor,yes,DMG,4
dwarven_plate,Armor,Dwarven Plate,Half-Plate Armor or Plate Armor,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this armor, you gain a +2 bonus to Armor Class.",very rare,armor,no,DMG,4
efreeti_chain,Armor,Efreeti Chain,Chain Mail or Chain Shirt,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this armor, you gain a +3 bonus to Armor Class, you have Immunity to Firedamage, and you know Primordial.",legendary,armor,yes,DMG,5
elven_chain,Armor,Elven Chain,Chain Mail or Chain Shirt,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,You gain a +1 bonus to Armor Class while you wear this armor.,rare,armor,no,DMG,3
glamoured_studded_leather,Armor,Glamoured Studded Leather,Studded Leather Armor,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this armor, you gain a +1 bonus to Armor Class.",rare,armor,no,DMG,3
mariner_s_armor,Armor,Mariner’s Armor,"Any Light, Medium, or Heavy",Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this armor, you have a Swim Speed equal to your Speed.",uncommon,armor,no,DMG,2
mithral_armor,Armor,Mithral Armor,"Any Medium or Heavy, Except Hide Armor",Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),1,"Mithral Armor [gp=400 + base armor, rar=U, att=—, type=Material, comp=Mithral]","Mithral is a light, flexible metal.",uncommon,armor,no,DMG,2
plate_armor_of_etherealness,Armor,Plate Armor of Etherealness,Half Plate Armor or Plate Armor,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While you’re wearing this armor, you can take a Magic action and use a command word to gain the effect of the Etherealness spell.",legendary,armor,yes,DMG,5
sentinel_shield,Armor,Sentinel Shield,Shield,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this Shield, you have Advantage on Initiative rolls and Wisdom (Perception) checks.",uncommon,shield,no,DMG,2
shield_of_expression,Armor,Shield of Expression,Shield,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,The front of this Shield is shaped in the likeness of a face.,common,shield,no,DMG,1
shield_of_missile_attraction,Armor,Shield of Missile Attraction,Shield,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this Shield, you have Resistance to damage from attacks made with Ranged weapons.",rare,shield,yes,DMG,3
shield_of_the_cavalier,Armor,Shield of the Cavalier,Shield,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this Shield, you have a +2 bonus to Armor Class.",very rare,shield,yes,DMG,4
shield_plus1_plus2_or_plus3,Armor,"Shield, +1, +2, or +3",Shield,"Uncommon (+1), Rare (+2),; Very Rare (+3)",,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this Shield, you have a bonus to Armor Class determined by the Shield’s rarity, in addition to the Shield’s normal bonus to AC.",very rare,shield,no,DMG,4
smoldering_armor,Armor,Smoldering Armor,"Any Light, Medium, or Heavy",Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"Wisps of harmless, odorless smoke rise from this armor while it is worn.",common,armor,no,DMG,1
spellguard_shield,Armor,Spellguard Shield,Shield,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this Shield, you have Advantage on saving throws against spells and other magical effects, and spell attack rolls have Disadvantage against you.",very rare,shield,yes,DMG,4
elixir_of_health,Potion,Elixir of Health,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you are cured of all magical contagions.",rare,potion,no,DMG,1
oil_of_etherealness,Potion,Oil of Etherealness,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"One vial of this oil can cover one Medium or smaller creature, along with the equipment it’s wearing and carrying (one additional vial is required for each size category above Medium).",rare,potion,no,DMG,1
